wl,g198_w,g498_w,g170_w,g934_w,g63_w,g454_w,g241_w,g5_w,g546_w,g968_w,g608_y,g654_y,g668_y,g16_y,g942_y,g859_y,g630_y,g674_y,g947_y,g354_y,g518_y,g181_y,g843_y,g26_y,g435_y,g64_y,g398_y,g604_y,g477_y,g227_y,g720_y,g357_y,g162_y,g607_y,g597_y,g65_y,g856_w,g728_w,g414_w,g871_w,g874_w,g741_w,g614_y,g168_y,g661_y
326,4.464788789,3.507955143,2.688053344,3.380093247,3.487103603,3.731443111,7.647601551,5.578227153,3.207944817,6.234616597,5.351306221,5.43721561,6.060850314,5.140991845,5.20934176,5.448319039,5.22259902,6.919682949,6.096829179,5.113274411,5.149009665,5.191497862,5.266144593,5.439281133,5.53403745,5.625285807,6.153236276,5.951099684,5.940845705,5.181839465,5.286103067,5.102998388,5.09790038,8.293786495,6.073635795,6.033797159,5.961481585,6.040533715,6.095147734,5.597241561,5.517696548,5.622487192,3.244343432,8.63452555,5.822389658
327,4.450201551,3.502578113,2.679995264,3.357742715,3.471554748,3.721439705,7.658326419,5.582067029,3.199557891,6.248295028,5.335851903,5.450301882,6.092389358,5.141903162,5.214845994,5.461703699,5.23629451,6.890896527,6.129437005,5.119432492,5.156099934,5.20427318,5.247649295,5.452404984,5.539196958,5.632093325,6.187549946,5.979319854,5.969199818,5.174591365,5.29468441,5.107585553,5.104252184,8.218848539,6.082331948,6.045247257,5.954999818,6.113307712,6.168493253,5.585688537,5.507663764,5.661243579,3.260788063,8.598524311,5.806210648
328,4.43361002,3.495507406,2.670948085,3.334327102,3.454777326,3.710129716,7.668320192,5.585429674,3.189873807,6.260613786,5.319506502,5.46309498,6.122898764,5.144194108,5.222420442,5.474748556,5.250525243,6.861570725,6.160980246,5.125867275,5.163837705,5.21765143,5.228701839,5.465206385,5.543237143,5.638107561,6.220745063,6.006615239,5.996921772,5.169572819,5.303095095,5.11276052,5.111090113,8.143439366,6.09058233,6.056068524,5.952238617,6.190893071,6.246442712,5.573192202,5.496807264,5.70512536,3.276046978,8.561241364,5.789369209
329,4.415278773,3.486943257,2.661039296,3.310024266,3.4368974,3.697575239,7.677516573,5.588318268,3.179097419,6.271693182,5.302536898,5.47572791,6.152726234,5.147805256,5.232022599,5.487592925,5.265278079,6.831817536,6.191818382,5.132626212,5.172262291,5.231726487,5.209571218,5.477821057,5.546297628,5.643390876,6.253200138,6.033296601,6.024283877,5.16667432,5.311420585,5.118602178,5.118510802,8.067804843,6.098356455,6.066239841,5.952561768,6.27258118,6.328336771,5.560073554,5.485405202,5.753374325,3.290117061,8.52301196,5.771907643
330,4.395472385,3.477085896,2.650396388,3.285012063,3.418041033,3.683838369,7.685849268,5.590735994,3.167433579,6.281653526,5.285209969,5.488333679,6.182219472,5.152677179,5.243609963,5.50037612,5.280539877,6.801748952,6.222310895,5.139756751,5.181413002,5.246592229,5.190526423,5.490384724,5.548518037,5.648005633,6.285293681,6.0596747,6.05155844,5.16578636,5.319746341,5.125189417,5.126610889,7.992190834,6.105623839,6.07574009,5.955333055,6.357663429,6.41351609,5.546653593,5.473735729,5.805232265,3.302995196,8.484171351,5.75386825
331,4.374455434,3.466135558,2.639146851,3.259468349,3.398334289,3.668981201,7.693251981,5.592686032,3.155087142,6.290615131,5.267792597,5.501045295,6.211726181,5.158750449,5.25714003,5.513237456,5.296297498,6.771476966,6.252817265,5.147306342,5.191329148,5.262342529,5.171836447,5.503033109,5.550037992,5.652014196,6.317404205,6.086060298,6.079017771,5.166799432,5.328157823,5.132601127,5.13548701,7.916843206,6.112353995,6.084548152,5.95991626,6.445431203,6.501321329,5.533253318,5.462076997,5.85994097,3.314678267,8.445054787,5.735293332
332,4.352492495,3.454292474,2.627418176,3.233570983,3.377903231,3.653065829,7.699658417,5.594171564,3.142262962,6.298698307,5.250551659,5.513995764,6.241594065,5.16596564,5.272570297,5.526316248,5.312537801,6.74111357,6.283696973,5.155322436,5.202050042,5.279071265,5.153770282,5.515901935,5.550997118,5.655478925,6.349910221,6.112764155,6.106934178,5.16960403,5.336740492,5.140916197,5.1452358,7.842007824,6.118516437,6.092642909,5.96567517,6.535175893,6.591093148,5.520193728,5.45070716,5.916742231,3.325163157,8.405997519,5.716225191
333,4.329848145,3.441756876,2.615337853,3.207497821,3.356873922,3.636154348,7.70500228,5.595195771,3.129165893,6.306023365,5.233754038,5.527318093,6.272170828,5.174263324,5.289858261,5.539751811,5.329247645,6.710770756,6.3153095,5.163852482,5.213614993,5.296872311,5.13659692,5.529126925,5.551535036,5.658462184,6.383190239,6.140097032,6.13557997,5.174090647,5.34557981,5.150213516,5.155953896,7.767930555,6.12408068,6.100003243,5.971973567,6.626188886,6.682172206,5.507795822,5.439904369,5.974877837,3.33444675,8.367334798,5.696706127
334,4.30678696,3.428728998,2.603033371,3.18142672,3.335372428,3.618308852,7.709217275,5.595761835,3.116000788,6.312710618,5.217666611,5.541145288,6.303804173,5.183584074,5.308961418,5.553683459,5.346413891,6.680560516,6.348014327,5.17294393,5.226063314,5.315839544,5.120585353,5.542843802,5.551791371,5.661026335,6.417622772,6.168369691,6.165227456,5.180149776,5.354761236,5.160571976,5.167737934,7.694857262,6.129016238,6.106608035,5.978175237,6.717761569,6.773899162,5.4963806,5.429946776,6.033589581,3.342525928,8.329401875,5.676778443
335,4.283573516,3.415409072,2.590632221,3.155535537,3.31352481,3.599591437,7.712237107,5.595872937,3.102972501,6.318880375,5.20255626,5.555610358,6.336841803,5.193868462,5.329837266,5.568250508,5.364023398,6.650594845,6.382170935,5.182644229,5.239434314,5.33606684,5.106004575,5.557188289,5.551905745,5.663233741,6.45358633,6.197892892,6.196148943,5.187671909,5.364370233,5.172070464,5.18068455,7.623033814,6.133292624,6.112436167,5.983643962,6.809185332,6.865614678,5.48626906,5.421112534,6.092119251,3.349397576,8.292533999,5.65648444
336,4.26047239,3.40199733,2.578261894,3.130002128,3.291457132,3.580064196,7.713995479,5.595532258,3.090285885,6.324652949,5.188689863,5.570846308,6.371631422,5.205057061,5.3524433,5.583592271,5.382063026,6.620985733,6.418138803,5.193000831,5.253767305,5.357648073,5.093123576,5.572296109,5.552017781,5.665146764,6.491459425,6.228977396,6.228616742,5.196547541,5.37449226,5.184787872,5.19489038,7.552706074,6.136879354,6.117466521,5.987743529,6.899751562,6.956659413,5.477782202,5.413679795,6.149708639,3.355058578,8.257066423,5.635866419
